n,Height,Plot 1,Plot 2 ,Plot 3
2000,22.8,1.039597324,0.254911749,0.0057
4000,25.8,1.078073923,0.203966909,0.003225
6000,28,1.115471473,0.180739223,0.002333333
8000,30.6,1.180028887,0.1710592,0.0019125
10000,31.6,1.189068483,0.158,0.00158
12000,32.6,1.202885735,0.148797961,0.001358333
14000,30.2,1.096336846,0.127618292,0.001078571
16000,33.4,1.195779604,0.132025092,0.00104375
18000,34,1.202628015,0.126710519,0.000944444
20000,32.8,1.147839456,0.115965512,0.00082
22000,32.6,1.129965756,0.109894578,0.000740909
24000,33.6,1.154579916,0.108443534,0.0007
26000,33.6,1.145489118,0.104189177,0.000646154
28000,35.4,1.198120437,0.105777732,0.000632143
30000,34,1.143035811,0.098149546,0.000566667
