i,TimeIterative
1,301.585
2,574.33
3,843.105
4,352.65
5,413.63
6,590.565
7,542.13
8,606.92
9,665.455
10,816.17
11,653.865
12,658.955
13,701.945
14,858.88
15,844.835
16,844.8
17,945.985
18,927.39
19,985.645
20,1017.49
21,1106.885
22,1108.965
23,1166.23
24,1236.2
26,1290.565
27,1379.175
28,1394.095
29,1427.17
30,1522.42
31,1525.81
32,1613.575
33,1613.52
34,1661.785
35,1756.085
36,1753.995
37,1842.265
38,1846.215
39,1931.85
40,1935.48
41,2133.41
42,382.25
43,387.18
44,393.3
45,398.23
46,404.05
47,410.4
48,415.09
49,421.09
50,426.285
51,432.165
52,437.725
53,479.9
54,449.05
55,454.48
56,460.16
57,465.905
58,471.515
59,477.895
60,482.75
61,488.37
62,494.215
63,499.64
64,505.585
65,511.905
66,516.6
67,533.705
68,539.0
69,549.335
70,551.485
71,557.47
72,562.925
73,567.3
74,620.84
75,578.445
76,584.285
77,589.815
78,595.575
79,632.215
80,606.815
81,612.26
82,617.99
83,623.855
84,658.495
85,634.835
86,640.55
87,646.885
88,651.9
89,688.91
90,663.065
91,668.68
92,674.43
93,709.65
94,685.965
95,691.25
96,697.145
97,702.695
98,738.95
99,714.125
100,719.365
101,726.595
102,769.225
103,736.515
104,742.07
105,747.825
106,753.13
107,788.175
108,765.385
109,770.31
110,775.975
111,812.07
112,787.245
113,793.895
114,798.395
115,835.305
116,810.035
117,815.53
118,821.165
119,856.785
120,832.31
121,838.09
122,843.435
123,880.84
124,854.695
125,860.385
126,866.455
127,901.615
128,877.525
129,884.63
130,889.41
131,894.465
132,900.955
133,906.1
134,911.535
135,957.055
136,922.64
137,928.145
138,934.235
139,969.875
140,945.27
141,950.685
142,956.485
143,1004.715
144,968.045
145,973.305
146,978.755
147,985.085
148,990.45
149,995.77
150,1032.82
151,1007.07
152,1012.82
153,1018.51
154,1061.22
155,1030.09
156,1035.43
157,1041.37
158,1046.78
159,1052.21
160,1057.89
161,1093.87
162,1069.305
163,1074.97
164,1081.31
165,1086.135
166,1091.835
167,1097.36
168,1130.5
169,1108.805
170,1114.18
171,1149.08
172,1127.075
173,1131.08
174,1174.515
175,1142.49
176,1148.2
177,1153.82
178,1159.875
179,1165.12
180,1170.545
181,1210.51
182,1182.06
183,1187.69
184,1225.93
185,1199.015
186,1204.75
187,1248.98
188,1215.82
189,1221.495
190,1227.575
191,1232.88
192,1238.38
193,1271.53
194,1249.52
195,1255.355
196,1291.13
197,1266.79
198,1272.475
199,1309.345
200,1283.42
